,retweets
1553,761
1554,532
1555,701
1556,325
1557,2256
1558,1013
1559,867
1560,660
1561,598
1562,767
1563,471
1564,530
1565,222
1566,483
1567,492
1568,555
1569,8360
1570,1737
1571,2057
1572,462
1573,2241
1574,874
1575,552
1576,2906
1577,1259
1578,1322
1579,1094
1580,735
1581,1240
1582,492
1583,634
1584,792
1585,516
1586,602
1587,1528
1588,664
1589,104
1590,1038
1591,367
1592,563
1593,477
1594,536
1595,2598
1596,110
1597,511
1598,1335
1599,700
1600,14159
1601,1048
1602,3590
1603,580
1604,945
1605,397
1606,1078
1607,589
1608,1281
1609,328
1610,2816
1611,948
1612,417
1613,1326
1614,467
1615,729
1616,19730
1617,906
1618,3173
1619,1283
1620,1107
1621,857
1622,1072
1623,503
1624,2954
1625,184
1626,1241
1627,946
1628,457
1629,1054
1630,594
1631,1376
1632,426
1633,1299
1634,1021
1635,316
1636,856
1637,1025
1638,973
1639,1221
1640,3013
1641,2620
1642,874
1643,904
1644,620
1645,1459
1646,2181
1647,825
1648,939
1649,818
1650,589
1651,520
1652,671
1653,14910
1654,155
1655,1019
1656,398
1657,332
1658,988
1659,535
1660,1046
1661,1590
1662,598
1663,424
1664,887
1665,1079
1666,1040
1667,8913
1668,1532
1669,849
1670,1798
1671,1372
1672,922
1673,746
1674,3698
1675,400
1676,820
1677,419
1678,1179
1679,5216
1680,245
1681,3709
1682,672
1683,1629
1684,857
1685,998
1686,236
1687,470
1688,441
1689,1340
1690,586
1691,1825
1692,937
1693,394
1694,563
1695,326
1696,1185
1697,607
1698,742
1699,939
1700,629
1701,1193
1702,1736
1703,440
1704,674
1705,443
1706,262
1707,1050
1708,442
1709,1400
1710,672
1711,1563
1712,857
1713,830
1714,1253
1715,8158
1716,776
1717,581
1718,598
1719,557
1720,1103
1721,687
1722,12614
1723,998
1724,718
1725,749
1726,426
1727,1888
1728,653
1729,1149
1730,1338
1731,585
1732,17037
1733,1074
1734,7251
1735,927
1736,1036
1737,2316
1738,7215
1739,587
1740,1096
1741,1017
1742,409
1743,821
1744,1030
1745,821
1746,1230
1747,417
1748,2936
1749,1490
1750,2193
1751,1321
1752,360
1753,1372
1754,2281
1755,1610
1756,28610
1757,375
1758,383
1759,823
1760,473
1761,224
1762,5498
1763,328
1764,341
1765,5642
1766,1526
1767,364
1768,1846
1769,877
1770,1294
1771,286
1772,756
1773,1352
1774,843
1775,728
1776,600
1777,411
1778,1018
1779,3299
1780,204
1781,1553
1782,253
1783,209
1784,1347
1785,472
1786,354
1787,636
1788,1469
1789,815
1790,953
1791,720
1792,349
1793,777
1794,327
1795,668
1796,4436
1797,1618
1798,650
1799,629
1800,13808
1801,602
1802,379
1803,1805
1804,856
1805,177
1806,387
1807,342
1808,1894
1809,110
1810,701
1811,252
1812,991
1813,490
1814,471
1815,4185
1816,590
1817,302
1818,484
1819,251
1820,27808
1821,516
1822,919
1823,593
1824,1030
1825,1051
1826,1251
1827,392
1828,505
1829,765
1830,841
1831,1243
1832,500
1833,1137
1834,123
1835,780
1836,475
1837,208
1838,3050
1839,420
1840,296
1841,722
1842,600
1843,86
1844,363
1845,332
1846,248
1847,407
1848,5228
1849,1137
1850,528
1851,855
1852,503
1853,458
1854,196
1855,14908
1856,2002
1857,1135
1858,1388
1859,2267
1860,1502
1861,200
1862,257
1863,784
1864,413
1865,690
1866,214
1867,1000
1868,275
1869,1048
1870,201
1871,406
1872,957
1873,318
1874,750
1875,954
1876,219
1877,181
1878,1050
1879,411
1880,692
1881,200
1882,384
1883,401
1884,468
1885,45
1886,327
1887,80
1888,412
1889,568
1890,205
1891,430
1892,242
1893,513
1894,503
1895,86
1896,1786
1897,315
1898,344
1899,467
1900,117
1901,402
1902,489
1903,280
1904,66
1905,450
1906,6047
1907,5149
1908,645
1909,202
1910,734
1911,386
1912,467
1913,144
1914,246
1915,1911
1916,1132
1917,432
1918,566
1919,111
1920,369
1921,181
1922,1087
1923,265
1924,560
1925,301
1926,838
1927,327
1928,1438
1929,221
1930,670
1931,1815
1932,265
1933,236
1934,256
1935,346
1936,359
1937,501
1938,1697
1939,570
1940,440
1941,377
1942,418
1943,328
1944,199
1945,308
1946,632
1947,314
1948,239
1949,488
1950,267
1951,594
1952,494
1953,475
1954,185
1955,1104
1956,235
1957,492
1958,6898
1959,216
1960,2754
1961,313
1962,617
1963,724
1964,550
1965,631
1966,253
1967,254
1968,471
1969,891
1970,783
1971,305
1972,471
1973,557
1974,425
1975,363
1976,731
1977,303
1978,504
1979,419
1980,272
1981,423
1982,512
1983,338
1984,337
1985,531
1986,286
1987,157
1988,318
1989,146
1990,373
1991,519
1992,110
1993,608
1994,448
1995,2938
1996,538
1997,287
1998,1329
1999,652
2000,524
2001,132
2002,276
2003,876
2004,176
2005,1010
2006,320
2007,304
2008,597
2009,993
2010,328
2011,319
2012,441
2013,3679
2014,484
2015,1215
2016,575
2017,479
2018,420
2019,374
2020,3006
2021,435
2022,776
2023,667
2024,202
2025,657
2026,3808
2027,6325
2028,183
2029,499
2030,890
2031,487
2032,336
2033,344
2034,497
2035,217
